raw_specialty,processed_specialties,is_junk,specialty_count
ACUPUNCTURE,acupuncture,False,1
ADOLESCENT MEDICINE,adolescent medicineicine,False,1
ALLERGY & IMMUNOLOGY,allergy immunology,False,1
ANATOMIC & CLINICAL PATHOLOGY,,True,0
ANESTHESIOLOGY,anesthesiology,False,1
APPLIED BEHAVIORAL ANALYSIS (ABA),,True,0
AUDIOLOGY,audiology,False,1
BARIATRIC SURGERY,bariatric surgeryery,False,1
CARDIAC ELECTROPHYSIOLOGY,cardiac electrophysiology,False,1
CARDIAC SURGERY,cardiac surgeryery,False,1
CARDIOTHORACIC SURGERY,cardiothoracic surgeryery,False,1
CARDIOVASCULAR DISEASE,cardiovascular disease,False,1
CARDIOVASCULAR SURGERY,cardiovascular surgeryery,False,1
CHILD NEUROLOGY,child neurology,False,1
CHIROPRACTIC,chiropractic,False,1
CLINICAL GENETICS,clinical genetics,False,1
CLINICAL PATHOLOGY,clinical pathology,False,1
COLON & RECTAL SURGERY,colon rectal surgeryery,False,1
DENTISTRY,dentistry,False,1
DERMATOLOGY,dermatology,False,1
DEVELOPMENTAL & BEHAVIORAL PEDIATRICS,developmental behavioral pediatrics,False,1
EMERGENCY MEDICINE,emergency medicineicine,False,1
ENDOCRINOLOGY,endocrinology,False,1
"ENDOCRINOLOGY, DIABETES & METABOLISM",endocrinology diabetes metabolism,False,1
FAMILY MEDICINE,family medicineicine,False,1
FAMILY MEDICINE WITH OBSTETRICS & PEDIATRICS,family medicineicine with obstetrics pediatrics,False,1
GASTROENTEROLOGY,gastroenterology,False,1
GENERAL VASCULAR SURGERY,general vascular surgeryery,False,1
GERIATRIC MEDICINE,geriatric medicineicine,False,1
GYNECOLOGIC ONCOLOGY,gynecologic oncology,False,1
GYNECOLOGY,gynecology,False,1
HAND SURGERY,surgeryery hand,False,1
HEMATOLOGY/ONCOLOGY,hematology oncology,False,1
HEPATOLOGY,hepatology,False,1
INFECTIOUS DISEASE,infectious disease,False,1
INTERNAL MEDICINE,,True,0
INTERVENTIONAL CARDIOLOGY,,True,0
INTERVENTIONAL RADIOLOGY,,True,0
LACTATION EDUCATION,lactation education,False,1
LICENSED MIDWIFERY,licensed midwifery,False,1
MASSAGE THERAPY,massage therapy,False,1
MATERNAL & FETAL MEDICINE,,True,0
MEDICAL ONCOLOGY,medicineical oncology,False,1
MEDICAL SOCIAL WORK SERVICES,medicineical social work services,False,1
MENTAL HEALTH COUNSELING,mental health counseling,False,1
MENTAL HEALTH COUNSELING CHILD & ADOLESCENT,mental health counseling child adolescent,False,1
NATUROPATHY,,True,0
NEONATAL/PERINATAL MEDICINE,,True,0
NEPHROLOGY,nephrology,False,1
NEUROLOGICAL SURGERY,neurological surgeryery,False,1
NEUROLOGY,neurology,False,1
NEUROPSYCHIATRY,neuropsychiatry,False,1
NEUROPSYCHOLOGY,neuropsychology,False,1
NEURORADIOLOGY,neuroradiology,False,1
NUCLEAR MEDICINE,nuclear medicineicine,False,1
NURSE ANESTHESIA,nurse anesthesia,False,1
NURSE MIDWIFERY,nurse midwifery,False,1
NUTRITIONAL COUNSELING,,True,0
OBSTETRICS,obstetrics,False,1
OBSTETRICS & GYNECOLOGY,obstetrics gynecology,False,1
OCCUPATIONAL MEDICINE,,True,0
OCCUPATIONAL THERAPY,,True,0
OPHTHALMOLOGY,ophthalmology,False,1
OPTOMETRY,optometry,False,1
ORAL & MAXILLOFACIAL SURGERY,oral maxillofacial surgeryery,False,1
ORAL MEDICINE,oral medicineicine,False,1
ORAL SURGERY,oral surgeryery,False,1
ORTHOPEDIC SURGERY,orthopedicedic surgeryery,False,1
OTOLARYNGOLOGY,otolaryngology,False,1
PAIN MANAGEMENT,,True,0
PALLIATIVE CARE,palliative care,False,1
PEDIATRIC ALLERGY & IMMUNOLOGY,pediatric allergy immunology,False,1
PEDIATRIC CARDIOLOGY,pediatric cardiology,False,1
PEDIATRIC DERMATOLOGY,pediatric dermatology,False,1
PEDIATRIC ENDOCRINOLOGY,pediatric endocrinology,False,1
PEDIATRIC GASTROENTEROLOGY,pediatric gastroenterology,False,1
PEDIATRIC HEMATOLOGY/ONCOLOGY,pediatric hematology oncology,False,1
PEDIATRIC INFECTIOUS DISEASES,pediatric infectious diseases,False,1
PEDIATRIC NEPHROLOGY,pediatric nephrology,False,1
PEDIATRIC NEUROLOGY,pediatric neurology,False,1
PEDIATRIC OCCUPATIONAL THERAPY,,True,0
PEDIATRIC OPHTHALMOLOGY,pediatric ophthalmology,False,1
PEDIATRIC ORTHOPEDICS,pediatric orthopedicedics,False,1
PEDIATRIC OTOLARYNGOLOGY,pediatric otolaryngology,False,1
PEDIATRIC PHYSICAL THERAPY,pediatric physical therapy,False,1
PEDIATRIC PULMONOLOGY,pediatric pulmonology,False,1
PEDIATRIC RHEUMATOLOGY,pediatric rheumatology,False,1
PEDIATRIC SPEECH THERAPY,pediatric speech therapy,False,1
PEDIATRIC SURGERY,pediatric surgeryery,False,1
PEDIATRIC UROLOGY,pediatric urology,False,1
PEDIATRICS,pediatrics,False,1
PHYSICAL MEDICINE & REHABILITATION,physical medicineicine rehabilitation,False,1
PHYSICAL THERAPY,physical therapy,False,1
PLASTIC SURGERY,plastic surgeryery,False,1
PODIATRIC FOOT ANKLE SURGERY,podiatric foot ankle surgeryery,False,1
PODIATRY,podiatry,False,1
PSYCH NURSE PRACTITIONER CHILD & ADOLESCENT,psychiatry nurse practitioner child adolescent,False,1
PSYCHIATRIC NURSE PRACTITIONER,psychiatric nurse practitioner,False,1
PSYCHIATRY,psychiatry,False,1
PSYCHIATRY (CHILD & ADOLESCENT),psychiatry child adolescent,False,1
PSYCHOLOGY,psychology,False,1
